pt_part,pt_um,pt_prod_line,pt_part_type
28-22-1143-02,PC,EVS,RM
28-22-1143-03,PC,EVS,RM
28-22-1143-04,PC,EVS,RM
28-22-1143-05,PC,EVS,RM
28-22-1143-06,PC,EVS,RM
28-22-1143-07,PC,EVS,RM
28-22-1143-08,PC,EVS,RM
28-22-1144-01,PC,EVS,RM
28-22-1144-02,PC,EVS,RM
28-22-1144-03,PC,EVS,RM
28-22-1144-04,PC,EVS,RM
28-22-1144-05,PC,EVS,RM
28-22-1144-06,PC,EVS,RM
28-22-1144-07,PC,EVS,RM
28-22-1145-01,PC,EVS,RM
28-22-1145-02,PC,EVS,RM
28-22-1145-03,PC,EVS,RM
28-22-1145-04,PC,EVS,RM
28-22-1145-05,PC,EVS,RM
28-22-1145-06,PC,EVS,RM
28-22-1145-07,PC,EVS,RM
28-22-1145-08,PC,EVS,RM
28-22-1685-01,PC,EVS,RM
28-22-1685-02,PC,EVS,RM
28-22-1685-03,PC,EVS,RM
28-22-1685-04,PC,EVS,RM
28-22-1685-05,PC,EVS,RM
28-22-1686-01,PC,EVS,RM
28-22-1686-02,PC,EVS,RM
28-22-1686-03,PC,EVS,RM
28-22-1686-04,PC,EVS,RM
28-22-1687-01,PC,EVS,RM
28-22-1687-02,PC,EVS,RM
28-22-1687-03,PC,EVS,RM
28-22-1687-04,PC,EVS,RM
28-22-1688-01,PC,EVS,RM
28-22-1688-02,PC,EVS,RM
28-22-1688-03,PC,EVS,RM
28-22-1688-04,PC,EVS,RM
28-22-1688-05,PC,EVS,RM
28-22-1689-01,PC,EVS,RM
28-22-1689-02,PC,EVS,RM
28-22-1689-03,PC,EVS,RM
28-22-1689-04,PC,EVS,RM
28-22-1690-01,PC,EVS,RM
28-22-1690-02,PC,EVS,RM
28-22-1690-03,PC,EVS,RM
28-22-1690-04,PC,EVS,RM
28-22-1691-01,PC,EVS,RM
28-22-1691-02,PC,EVS,RM
28-22-1691-03,PC,EVS,RM
28-22-1691-04,PC,EVS,RM
28-22-1691-05,PC,EVS,RM
28-22-1692-01,PC,EVS,RM
28-22-1692-02,PC,EVS,RM
28-22-1692-03,PC,EVS,RM
28-22-1692-04,PC,EVS,RM
28-22-1693-01,PC,EVS,RM
28-22-1693-02,PC,EVS,RM
28-22-1693-03,PC,EVS,RM
28-22-1693-04,PC,EVS,RM
28-22-1694-01,PC,EVS,RM
28-22-1694-02,PC,EVS,RM
28-22-1694-03,PC,EVS,RM
28-22-1695-01,PC,EVS,RM
28-22-1695-02,PC,EVS,RM
28-22-1696-01,PC,EVS,RM
28-22-1696-02,PC,EVS,RM
28-22-1696-03,PC,EVS,RM
28-22-1696-04,PC,EVS,RM
28-22-1697-01,PC,EVS,RM
28-22-1697-02,PC,EVS,RM
28-22-1697-03,PC,EVS,RM
28-22-1697-04,PC,EVS,RM
28-22-1698-01,PC,EVS,RM
28-22-1698-02,PC,EVS,RM
28-22-1698-03,PC,EVS,RM
28-22-1698-04,PC,EVS,RM
28-22-1698-05,PC,EVS,RM
28-22-1698-06,PC,EVS,RM
28-22-1698-07,PC,EVS,RM
28-22-1698-08,PC,EVS,RM
28-22-1698-09,PC,EVS,RM
28-22-1698-10,PC,EVS,RM
28-22-1698-11,PC,EVS,RM
28-22-1698-12,PC,EVS,RM
28-22-1698-13,PC,EVS,RM
28-22-1699-01,PC,EVS,RM
28-22-1699-02,PC,EVS,RM
28-22-1699-03,PC,EVS,RM
28-22-1699-04,PC,EVS,RM
28-22-1699-05,PC,EVS,RM
28-22-1699-06,PC,EVS,RM
28-22-1699-07,PC,EVS,RM
28-22-1699-08,PC,EVS,RM
28-22-1699-09,PC,EVS,RM
28-22-1699-10,PC,EVS,RM
28-22-1699-11,PC,EVS,RM
28-22-1699-12,PC,EVS,RM
28-22-1699-13,PC,EVS,RM
28-22-1700-01,PC,EVS,RM
28-22-1700-02,PC,EVS,RM
28-22-1700-03,PC,EVS,RM
28-22-1700-04,PC,EVS,RM
28-22-1700-05,PC,EVS,RM
28-22-1700-06,PC,EVS,RM
28-22-1700-07,PC,EVS,RM
